Banglalink,Banglalink,Banglalink Desh Hello Package,N\A,0,24,2.3
Banglalink,Others,Banglalink Desh Hello Package,N\A,0,24,1.2
Banglalink,Banglalink,Banglalink Desh Hello Package,A,0,24,0.55
Banglalink,Banglalink,1 Second Pulse,N\A,0,24,0.22000000000000003
Banglalink,Banglalink,Banglalink Play,N\A,0,16,2.2
Banglalink,Banglalink,Banglalink Play,N\A,16,0,2.7
Banglalink,Banglalink,Banglalink Play,A,0,16,1.1
Banglalink,Others,Banglalink Play,N\A,0,16,2.2
Banglalink,Others,Banglalink Play,A,0,24,1.1
Banglalink,Banglalink,Banglalink Play,A,0,24,0.55
Banglalink,Banglalink,Banglalink Desh 10 FNF,N\A,0,24,2.7
Banglalink,Others,Banglalink Desh 10 FNF,A,12,16,1.1
Banglalink,Others,Banglalink Desh 10 FNF,N\A,0,24,2.867
Banglalink,Banglalink,Banglalink Desh 10 FNF,A,12,16,0.6
Banglalink,Banglalink,Banglalink Desh Ek Rate Darun,N\A,0,24,2.0829999999999997
Banglalink,Others,Banglalink Desh Ek Rate Darun,N\A,0,24,2.0829999999999997
Banglalink,Banglalink,Banglalink Desh,N\A,22,8,2.6
Banglalink,Banglalink,Banglalink Desh,N\A,8,22,2.6
Banglalink,Banglalink,Banglalink Desh,A,22,8,1.0
Banglalink,Others,Banglalink Desh,N\A,22,8,2.9
Banglalink,Others,Banglalink Desh,A,0,24,1.7
