caller,callee,offer,fnf,time,taka
GP,GP,Nishchinto,N/A,24,21
GP,Others,Nishchinto,N/A,24,21
GP,GP,Bondhu,N/A,24,27.5
GP,Others,Bondhu,N/A,24,27.5
GP,GP,Bondhu,Super,24,5.5
GP,GP,Bondhu,Normal,24,11.5
GP,GP,Djuice,N/A,24,27.5
GP,Com,Djuice,N/A,24,11.5
GP,Others,Djuice,N/A,24,27.5
GP,GP,Djuice,Normal,24,10
caller,callee,offer,fnf,starttime,endtime,,taka
GP,GP,Nishchinto,N/A,0,24,,21
caller,callee,offer,fnf,starttime,endtime,,taka
GP,GP,Nishchinto,N/A,0,24,,21
GP,Others,Nishchinto,N/A,0,24,,21
GP,GP,Bondhu,N/A,0,24,,27.5
GP,Others,Bondhu,N/A,0,24,,27.5
GP,GP,Bondhu,Super,0,24,,5.5
GP,GP,Bondhu,Normal,0,24,,11.5
GP,GP,Djuice,N/A,0,24,,27.5
GP,Com,Djuice,N/A,0,24,,11.5
GP,Others,Djuice,N/A,0,24,,27.5
GP,GP,Djuice,Normal,0,24,,10
