caller,callee,offer,fnf,starttime,endtime,taka
GP,GP,Nishchinto,N\A,0,24,2.1
GP,Others,Nishchinto,N\A,0,24,2.1
GP,GP,Bondhu,N\A,0,24,2.75
GP,Others,Bondhu,N\A,0,24,2.75
GP,GP,Bondhu,Super,0,24,0.55
GP,GP,Bondhu,Normal,0,24,1.15
GP,GP,Djuice,N\A,0,24,2.75
GP,Com,Djuice,N\A,0,24,1.15
GP,Others,Djuice,N\A,0,24,2.75
GP,GP,Djuice,Normal,0,24,1
Robi,Robi,Noor,N\A,0,24,0.7
Robi,Robi,mega-fnf,N\A,16,24,1.1
Robi,Robi,mega-fnf,Normal,0,16,0.8
Robi,Others,mega-fnf,Normal,0,24,1.1
Robi,Robi,hoot-hut-chomok-32,N\A,0,24,1.1
Robi,Others,hoot-hut-chomok-32,N\A,0,24,2.1
Robi,Robi,hoot-hut-chomok-32,Normal,0,24,1.3
Robi,Others,robi-club-34,N\A,0,24,2.3
Robi,Robi,robi-club-34,N\A,16,24,1.2
Robi,Robi,robi-club-34,N\A,0,16,2.3
Robi,Robi,goti-36,N\A,0,24,2.1
Robi,Others,goti-36,N\A,0,24,2.1
Robi,Others,nobanno-37,N\A,0,24,2.1
Robi,Robi,nobanno-37,N\A,22,8,8
Robi,Robi,nobanno-37,N\A,8,22,2.1
Robi,Robi,shorol-39,N\A,0,24,2.2
Robi,Others,shorol-39,N\A,0,24,22
Banglalink,Banglalink,Banglalink Desh Hello Package,N\A,0,24,2.3
Banglalink,Others,Banglalink Desh Hello Package,N\A,0,24,1.2
Banglalink,Banglalink,Banglalink Desh Hello Package,Normal,0,24,0.55
Banglalink,Banglalink,1 Second Pulse,N\A,0,24,0.22
Banglalink,Banglalink,Banglalink Play,N\A,0,16,2.2
Banglalink,Banglalink,Banglalink Play,N\A,16,24,2.7
Banglalink,Banglalink,Banglalink Play,Normal,0,16,1.1
Banglalink,Others,Banglalink Play,N\A,0,16,2.2
Banglalink,Others,Banglalink Play,Normal,0,24,1.1
Banglalink,Banglalink,Banglalink Play,Normal,0,24,0.55
Banglalink,Banglalink,Banglalink Desh 10 FNF,N\A,0,24,2.7
Banglalink,Others,Banglalink Desh 10 FNF,Normal,12,16,1.1
Banglalink,Others,Banglalink Desh 10 FNF,N\A,0,24,2.867
Banglalink,Banglalink,Banglalink Desh 10 FNF,Normal,12,16,0.6
Banglalink,Banglalink,Banglalink Desh Ek Rate Darun,N\A,0,24,2.083
Banglalink,Others,Banglalink Desh Ek Rate Darun,N\A,0,24,2.083
Banglalink,Banglalink,Banglalink Desh,N\A,22,8,2.6
Banglalink,Banglalink,Banglalink Desh,N\A,8,22,2.6
Banglalink,Banglalink,Banglalink Desh,Normal,22,8,1
Banglalink,Others,Banglalink Desh,N\A,22,8,2.9
Banglalink,Others,Banglalink Desh,Normal,0,24,1.7
Teletalk,Teletalk,Projonmo,N\A,0,8,0.005
Teletalk,Teletalk,Projonmo,N\A,8,24,0.01
Teletalk,Others,Projonmo,N\A,0,8,0.016
Teletalk,Others,Projonmo,N\A,8,24,0.016
Teletalk,Teletalk,Mayer Hashi,N\A,0,24,1.5
Teletalk,Others,Mayer Hashi,N\A,0,24,1.5
Teletalk,Teletalk,Youth,N\A,0,24,1.5
Teletalk,Others,Youth,N\A,0,24,1.5
Teletalk,Teletalk,Agami,N\A,0,24,0.417
Teletalk,Others,Agami,N\A,0,24,1
Teletalk,Teletalk,Shadheen,N\A,8,24,1
Teletalk,Teletalk,Shadheen,N\A,0,8,0.5
Teletalk,Others,Shadheen,N\A,8,24,1.5
Teletalk,Others,Shadheen,N\A,0,8,1
Teletalk,Teletalk,Bornomala,N\A,0,24,1
Teletalk,Others,Bornomala,N\A,0,24,1
Teletalk,Teletalk,Oporajita,N\A,0,24,1.5
Teletalk,Others,Oporajita,N\A,0,24,1.5
