Caller,Callee,Offer,FNF,Rate
Teletalk,Teletalk,Projonmo,N\A,35
Teletalk,Others,Projonmo,N\A,45
Teletalk,Teletalk,Bornomala,N\A,30
Teletalk,Others,Bornomala,N\A,40
Teletalk,Teletalk,Youth,N\A,30
Teletalk,Others,Youth,N\A,40
Teletalk,Teletalk,Agami,N\A,25
Teletalk,Others,Agami,N\A,35
Teletalk,Teletalk,Mayer Hashi,N\A,30
Teletalk,Others,Mayer Hashi,N\A,40
Teletalk,Teletalk,Shadeen,N\A,35
Teletalk,Others,Shadeen,N\A,45
Banglalink,Banglalink,Banglalink Play,N\A,50
Banglalink,Others,Banglalink Play,Normal,29
Banglalink,Banglalink,Banglalink Desh,N\A,50
Banglalink,Others,Banglalink Desh,N\A,50
Robi,Robi,Noor,N\A,50
Robi,Others,Noor,N\A,50
GP,GP,Nishcinto,N\A,50
GP,Others,Nishcinto,N\A,50
GP,GP,Bondhu,N\A,50
GP,Others,Bondhu,N\A,50
GP,GP,Djuice,N\A,50
GP,Others,Djuice,N\A,50
Robi,Robi,mega-fnf,N\A,50
Robi,Others,mega-fnf,N\A,50
Robi,Robi,hoot-hut-chomok-32,N\A,50
Robi,Others,hoot-hut-chomok-32,N\A,50
Robi,Robi,robi-club-34,N\A,50
Robi,Others,robi-club-34,N\A,50
Robi,Robi,goti-36,N\A,50
Robi,Others,goti-36,N\A,50
Robi,Robi,nobanno-37,N\A,50
Robi,Others,nobanno-37,N\A,50
Robi,Robi,shorol-39,N\A,50
Robi,Others,shorol-39,N\A,50
Banglalink,Banglalink,Banglalink Desh Hello Package,N\A,50
Banglalink,Others,Banglalink Desh Hello Package,N\A,50
Banglalink,Banglalink,1 Second Pulse,N\A,50
Banglalink,Others,1 Second Pulse,N\A,50
Banglalink,Banglalink,Banglalink Desh 10 FNF,N\A,50
Banglalink,Others,Banglalink Desh 10 FNF,N\A,50
Banglalink,Banglalink,Banglalink Desh Ek Rate Darun,N\A,50
Banglalink,Others,Banglalink Desh Ek Rate Darun,N\A,50
Teletalk,Teletalk,Oporajita,N\A,40
Teletalk,Others,Oporajita,N\A,40
